ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18	SAMPLE 19	SAMPLE 20
hsa-miR-491-3p	-12.033434	-12.015991	-5.481667	-5.5871964	-12.161522	-12.138256	-7.066923	-7.0830917	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-491-5p	-12.033434	-7.665819	-3.8994164	-3.8358274	-6.032142	-6.005295	-4.432828	-4.495216	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-492	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-493-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-493-5p	-2.112928	-2.0504751	-11.544527	-11.474705	-2.476893	-2.5047827	-3.619574	-3.5899825	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-494	-1.5173106	-1.5827737	-0.53667784	-0.6133857	-1.4910192	-1.4825788	-0.75067854	-0.9038787	1.6584234	1.7333541	1.7212558	1.6878715	0	0	0	0	0	0	0	0
hsa-miR-495	-0.40704536	-0.37376308	1.1965408	1.1293945	-0.024546623	-0.052279472	0.6906986	0.726799	-3.3684232	-3.4682388	-3.3380537	-3.523506	0	0	0	0	0	0	0	0
hsa-miR-496	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-497-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-497-5p	0.14644718	0.14744473	1.390851	1.307847	0.34048176	0.320179	1.0170431	1.0023861	1.4502358	1.4753194	1.4326439	1.4265809	0	0	0	0	0	0	0	0
hsa-miR-498	-0.6067028	-0.6857767	-5.620118	-5.4885306	-1.0966659	-1.1525488	-2.1779222	-2.2439256	-3.4562545	-3.357717	-3.152218	-3.4902894	6.3930054	5.566614	6.3900194	5.710583	6.3886957	6.3477206	5.76651	5.541366
hsa-miR-499a-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-499a-5p	-0.039278984	-0.001235008	-1.4990268	-1.6552205	-0.28696346	-0.31883907	-0.9507799	-0.9387884	-2.6131392	-8.986686	-3.6190162	-3.7606099	0	0	0	0	0	0	0	0
hsa-miR-500a-3p	-4.027568	-4.086967	-4.499139	-4.514633	-4.1653876	-4.2025566	-4.5116644	-4.148063	-3.3568087	-3.3576498	-3.3946307	-3.4386778	0	0	0	0	0	0	0	0
hsa-miR-500a-5p	-5.3872485	-5.1925755	-5.006705	-5.0596304	-5.957011	-5.9008203	-5.189495	-5.2546806	-4.483391	-4.077407	-3.9958367	-3.9737632	0	0	0	0	0	0	0	0
hsa-miR-500b	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-501-3p	-6.3252306	-6.211607	-5.8045225	-5.798762	-6.315325	-6.1318007	-6.069869	-5.8582935	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-501-5p	-5.57248	-5.644863	-7.062931	-6.801544	-6.7916784	-6.1537924	-6.920715	-6.2303643	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-502-3p	-4.169985	-4.173628	-4.0597043	-4.1847553	-4.3259506	-4.277857	-4.2399983	-4.2762666	-3.4647505	-3.6450274	-3.6442552	-3.6585834	0	0	0	0	0	0	0	0
hsa-miR-502-5p	-5.210418	-5.737217	-11.544527	-11.474705	-5.987367	-5.932477	-6.153359	-6.0379066	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-503	-2.979044	-3.048675	-11.544527	-11.474705	-3.4621568	-3.5128837	-4.811226	-4.534433	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-504	-12.033434	-12.015991	-6.2040358	-6.236338	-12.161522	-12.138256	-7.0396624	-7.049985	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-505-3p	-2.9986901	-2.8856573	-2.7229223	-2.7985682	-2.9964414	-3.025454	-2.8884377	-2.9005647	0.7255945	0.8245764	0.7164469	0.6679778	0	0	0	0	0	0	0	0
hsa-miR-505-5p	-5.238906	-5.1199427	-5.35345	-5.1274624	-5.2489157	-5.228736	-5.1592817	-5.204168	-2.826761	-2.7856145	-2.8340197	-2.9296248	0	0	0	0	0	0	0	0
hsa-miR-506-3p	-2.092752	-2.1233587	-11.544527	-11.474705	-2.6100392	-2.5511665	-3.918838	-3.9113317	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-507	-3.603157	-3.6896472	-11.544527	-11.474705	-4.1914854	-4.178938	-11.68643	-6.2071314	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-508-3p	-2.0753193	-2.1546302	-11.544527	-11.474705	-2.5962791	-2.544167	-4.065763	-4.0667377	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-508-5p	-6.2571855	-6.2569714	-11.544527	-11.474705	-6.627118	-6.8297677	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-509-3-5p	-1.567112	-1.6447234	-11.544527	-11.474705	-2.0921516	-2.0395808	-3.3652282	-3.3539119	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-509-3p	-2.4291124	-2.417663	-11.544527	-11.474705	-2.860787	-2.837522	-4.185246	-4.1166463	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-509-5p	-1.7215414	-1.7168555	-11.544527	-11.474705	-2.1647463	-2.2026844	-3.4241986	-3.4372973	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-510	-2.8867178	-2.9043732	-11.544527	-11.474705	-3.2994432	-3.3338447	-4.7966404	-4.8400555	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-511	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-512-3p	0.62682724	0.6503372	-3.9864783	-4.100818	0.26355553	0.22713661	-0.9287276	-0.9202218	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
